State,Estimated or Actual 2018 Total Ballots Counted VEP Turnout Rate,2018 Vote for Highest Office VEP Turnout Rate,Status,Source,Estimated or Actual 2018 Total Ballots Counted,2018 Vote for Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
South Dakota,53.10%,52.80%,Official,https://sdsos.gov/elections-voting/election-resources/election-history/2018_Election_History.aspx,"341,048","339,214","642,257","669,423",3.10%,"3,744",0,"2,687","6,431",,SD
Tennessee,44.70%,44.20%,Official,https://sos.tn.gov/products/elections/election-results#2018,"2,267,428","2,243,740","5,073,296","5,337,147",3.50%,"27,906","62,609","12,092","75,685",,TN
Texas,45.60%,45.60%,Official,https://elections.sos.state.tx.us/elchist331_state.htm,"8,375,000","8,371,655","18,377,841","21,711,618",13.10%,"155,327","374,285","111,287","479,956",,TX
Utah,50.60%,49.80%,Certified,https://elections.utah.gov/Media/Default/2018%20Election/2018%20General%20Election%20Canvass.pdf,"1,082,972","1,065,630","2,140,159","2,291,926",6.40%,"5,846",0,0,"5,846",,UT
Vermont,55.70%,54.80%,Official,https://vtelectionresults.sec.state.vt.us/Index.html#/,"278,230","274,087","499,907","510,397",2.10%,0,0,0,0,,VT
Virginia,54.40%,54.30%,Official,https://results.elections.virginia.gov/vaelections/2018%20November%20General/Site/Congress.html,"3,363,505","3,351,373","6,177,626","6,687,863",6.50%,"36,959","60,821","1,650","73,277",,VA
Washington,58.30%,57.40%,Final,https://results.vote.wa.gov/results/current/,"3,133,448","3,086,168","5,373,202","5,981,386",8.80%,"18,335","89,317","11,322","80,568",,WA
West Virginia,42.50%,41.70%,Official,https://results.enr.clarityelections.com/WV/92360/Web02-state.216038/#/,"597,149","586,034","1,404,206","1,429,959",0.80%,"7,137","6,523","3,550","14,405",,WV
Wisconsin,61.40%,61.40%,Certified,https://elections.wi.gov/node/6300,"2,675,000","2,673,308","4,354,527","4,563,564",3.10%,"22,889","44,489","20,401","68,649",,WI
Wyoming,47.90%,47.40%,Official,https://soswy.state.wy.us/Elections/Docs/2018/2018GeneralResults.aspx,"205,275","203,420","428,898","445,747",2.50%,"2,323","4,666",842,"5,825",,WY
,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,
Louisiana,"The ""Highest Office"" is Constitional Amendment 1: Prohibit felons from public office",,,,,,,,,,,,,,
North Carolina,"The ""Highest Office"" is Photo Voter ID Referrendum",,,,,,,,,,,,,,
Utah,"The ""Highest Office"" is Proposition 2 (Medical Marijuana)",,,,,,,,,,,,,,
